vol_acidity,tot_sulf_d,density,sulph,alcohol,class
0.961576,-0.379014,0.5581,-0.579025,-0.959946,Low
1.966827,0.624168,0.028252,0.12891,-0.584594,Low
1.29666,0.228975,0.134222,-0.048074,-0.584594,Low
-1.384011,0.411372,0.664069,-0.461036,-0.584594,High
0.961576,-0.379014,0.5581,-0.579025,-0.959946,Low
0.738187,-0.196617,0.5581,-0.579025,-0.959946,Low
0.403103,0.380972,-0.183687,-1.168972,-0.959946,Low
0.682339,-0.774207,-1.137414,-1.109977,-0.396918,High
0.291408,-0.865405,0.028252,-0.520031,-0.866108,High
0.291408,0.563369,-0.448611,-0.697015,-1.147622,Low
0.486874,0.380972,-1.296368,-0.815004,-0.490756,Low
-1.384011,1.718548,0.081237,0.541872,0.072271,High
0.347256,-0.531011,0.346161,-0.932993,-1.335297,Low
-1.719094,0.411372,0.028252,-0.756009,-0.959946,High
-0.76969,0.745766,0.770039,-0.048074,-0.678432,Low
-0.546301,-0.287816,-0.077718,1.485786,-0.866108,Low
-0.211217,0.624168,0.028252,-0.756009,-0.959946,Low
-0.713843,-0.196617,0.028252,-0.166063,-0.678432,High
-0.76969,-0.713408,-0.66055,-0.579025,-1.053784,Low
-0.657996,-1.078202,-0.289657,-0.402042,-0.866108,Low
-0.546301,-0.287816,-0.077718,1.485786,-0.866108,Low
1.017423,-0.348615,0.240191,-0.63802,-0.959946,Low
0.654416,-0.926204,-0.183687,-0.402042,-0.584594,High
0.821958,1.08016,-0.501596,-0.697015,-0.303081,Low
0.877805,-0.287816,-0.077718,-0.520031,0.166109,High
0.710263,2.022543,-0.077718,0.010921,-0.584594,Low
-1.160621,0.107377,-0.554581,-0.63802,-1.147622,Low
0.403103,-0.956604,0.399145,-0.343047,0.353785,High
-0.825538,-0.500612,0.028252,0.423883,-0.678432,High
0.45895,-0.014221,0.45213,-0.873998,-1.053784,Low
0.738187,-0.713408,0.028252,3.19663,-0.115405,Low
0.794034,-1.078202,-0.289657,-0.815004,-0.866108,Low
-0.043675,0.563369,-1.773231,-0.579025,2.512056,Low
2.273987,2.052942,0.134222,0.423883,-1.147622,Low
-1.328163,-0.287816,0.081237,-0.461036,-0.866108,Low
-0.713843,-1.047802,-0.501596,-0.579025,-1.147622,Low
-1.216469,1.505752,-0.713535,-0.461036,-1.147622,Low
0.738187,-0.713408,0.187206,0.482878,-1.147622,Low
-0.043675,-0.956604,-0.607566,-0.166063,-0.959946,High
-0.15537,-0.987003,-0.66055,-0.107068,-0.959946,High
-0.825538,2.20494,0.134222,-0.579025,-0.959946,Low
-0.099523,0.806565,-0.66055,-0.166063,-0.209243,High
0.514797,-0.04462,0.5581,-0.756009,-0.866108,Low
-0.602148,-1.108601,0.187206,-0.166063,-0.77227,Low
0.347256,0.228975,0.399145,-0.402042,-0.396918,Low
-0.76969,-0.014221,-0.289657,-0.697015,-0.959946,High
-0.713843,0.168176,0.664069,-0.107068,-1.147622,Low
0.905729,1.992144,0.028252,0.305894,-1.053784,Low
-0.043675,-0.348615,0.028252,-0.225058,-0.866108,High
1.157041,0.228975,-0.077718,-0.520031,-0.584594,Low
1.101194,-1.078202,-0.289657,-1.581934,0.447623,Low
1.101194,-1.078202,-0.289657,-1.581934,0.447623,Low
-0.043675,-0.227017,0.028252,-0.461036,-0.77227,Low
0.989499,-0.956604,-0.289657,-0.461036,0.259947,Low
-1.160621,0.563369,0.081237,0.777851,0.259947,Low
0.989499,-0.835006,-0.289657,1.721765,0.072271,High
0.570645,-0.59181,-0.024733,-0.697015,-0.866108,High
0.794034,1.505752,-0.289657,-1.050982,-0.866108,Low
0.905729,1.444953,-0.342642,-1.050982,-0.866108,Low
0.821958,-0.105419,0.45213,-0.756009,-1.147622,Low
-1.160621,1.110559,0.876009,0.954835,-0.77227,Low
-0.657996,-0.135818,0.981978,0.010921,0.072271,Low
-0.657996,-0.135818,0.981978,0.010921,0.072271,Low
1.436278,-0.500612,-0.077718,-0.63802,0.259947,High
1.240812,1.019361,-0.501596,-0.815004,-0.303081,Low
0.542721,2.20494,0.240191,2.724673,-1.241459,Low
-0.434607,-0.956604,-0.501596,-0.579025,-1.147622,Low
-0.15537,0.806565,0.134222,-0.520031,-1.241459,Low
-1.272316,0.441771,-0.448611,0.718856,-0.115405,High
0.123866,-0.196617,-0.342642,-0.402042,-0.303081,Low
-0.211217,-0.470212,-0.077718,-0.107068,-0.77227,Low
-0.76969,2.387336,0.5581,3.31462,-0.866108,Low
0.514797,-0.683009,0.5581,-0.756009,-1.335297,Low
-0.043675,2.843328,-0.183687,-0.697015,-0.866108,Low
-0.211217,-0.470212,-0.077718,-0.107068,-0.77227,Low
2.748689,1.171358,-1.561292,-1.050982,0.072271,Low
0.403103,1.809747,-1.879201,-0.343047,2.32438,High
1.380431,-0.713408,-0.130702,-0.579025,0.259947,Low
-0.15537,-0.743808,-0.236672,-0.166063,-1.147622,Low
2.078522,-1.108601,-0.024733,-0.579025,-0.584594,Low
0.095943,-0.348615,0.240191,-0.402042,-1.335297,High
0.45895,0.107377,0.240191,-0.284052,-0.209243,High
-0.15537,-0.743808,-0.448611,-0.579025,-0.021567,High
0.095943,-0.348615,0.240191,-0.402042,-1.335297,High
0.263485,0.563369,-0.024733,-0.873998,-1.147622,Low
-0.211217,-0.318215,-0.395626,-1.050982,-0.959946,Low
0.263485,0.563369,-0.024733,-0.873998,-1.147622,Low
0.570645,0.53297,0.081237,0.777851,-1.053784,Low
-1.104774,1.019361,0.45213,0.836846,-0.77227,High
1.436278,3.238521,0.081237,0.187905,-1.053784,Low
0.179714,0.016179,-0.183687,1.603776,-0.866108,Low
0.514797,1.870546,-0.183687,0.010921,-0.584594,Low
0.403103,1.961744,-0.183687,0.010921,-0.584594,Low
-1.216469,-0.014221,1.087948,0.069915,-0.678432,High
0.179714,0.016179,-0.183687,1.603776,-0.866108,Low
-0.713843,0.472171,-0.077718,-0.166063,0.072271,High
0.068019,-0.196617,0.5581,-0.284052,-0.396918,High
0.179714,-0.561411,0.134222,-0.932993,-0.959946,High
0.123866,0.289774,-0.289657,-0.343047,0.447623,High
0.905729,1.292956,-0.448611,-0.697015,-1.147622,High
0.123866,0.289774,-0.289657,-0.343047,0.447623,High
0.933652,-1.017403,0.664069,-0.815004,-1.147622,Low
1.017423,-0.379014,0.45213,-0.756009,-0.866108,Low
-0.15537,1.688149,-0.395626,-1.050982,-0.866108,Low
0.514797,1.323355,0.876009,0.246899,-0.959946,Low
4.479955,-1.047802,-0.183687,-0.991988,0.447623,Low
4.479955,-1.047802,-0.183687,-1.050982,0.447623,Low
0.347256,-0.926204,-0.289657,1.544781,0.072271,High
-0.825538,-0.835006,-0.66055,-0.520031,-0.959946,Low
1.212889,2.660932,0.028252,0.010921,-0.959946,Low
-0.15537,1.596951,-1.614277,-0.166063,2.418218,Low
-0.15537,1.596951,-1.614277,-0.166063,2.418218,Low
-0.15537,-0.62221,-0.819505,-0.461036,-0.584594,High
2.860384,-0.531011,-0.448611,-0.63802,-0.490756,High
1.212889,0.50257,-0.130702,0.954835,-0.77227,Low
1.045347,0.168176,0.028252,0.659862,-0.866108,Low
-0.630072,-0.04462,0.240191,-0.107068,-1.147622,Low
0.179714,1.779347,-0.289657,-0.697015,-0.866108,Low
0.179714,1.870546,-0.289657,-0.697015,-0.866108,Low
1.212889,0.50257,-0.130702,0.954835,-0.77227,Low
1.045347,0.168176,0.028252,0.659862,-0.866108,Low
-1.048927,0.50257,-2.726957,0.777851,3.356597,High
-0.76969,-0.804607,-0.713535,-0.461036,-0.959946,Low
-1.048927,0.50257,-2.726957,0.777851,3.356597,High
0.794034,2.873728,0.028252,-0.225058,-0.959946,Low
0.849881,1.444953,-1.243383,-0.815004,-0.396918,Low
-0.211217,-0.500612,-0.448611,-0.461036,-0.209243,High
-0.713843,-0.105419,0.399145,-0.284052,0.072271,High
-1.104774,-1.078202,-0.501596,-0.756009,-0.115405,High
0.403103,1.596951,-0.925474,-0.697015,-0.303081,Low
0.403103,1.596951,-0.925474,-0.697015,-0.303081,Low
0.849881,-0.743808,0.081237,-0.932993,-1.053784,Low
0.403103,1.201758,0.028252,-0.520031,-1.053784,High
2.357758,-0.804607,-0.448611,-0.579025,-0.77227,Low
0.849881,-0.804607,-0.130702,2.488695,-1.147622,Low
0.012172,-0.470212,-0.183687,-0.579025,-0.396918,High
0.570645,1.505752,-0.342642,-0.225058,-0.866108,Low
0.626492,1.657749,-0.607566,-0.815004,-0.209243,Low
0.123866,-0.135818,-0.607566,-1.050982,-1.335297,Low
0.570645,-0.07502,-0.76652,-0.63802,-0.021567,High
1.994751,-1.1694,0.240191,-1.935902,-1.241459,Low
-0.602148,-0.865405,0.240191,-0.284052,-1.147622,High
-0.602148,-0.865405,0.240191,-0.284052,-1.147622,High
0.514797,-0.135818,-0.342642,-0.520031,1.01065,High
-0.825538,-0.348615,-0.342642,-1.109977,-0.866108,Low
-0.15537,0.076978,-0.501596,0.718856,-0.866108,Low
-0.825538,-0.348615,-0.342642,-1.109977,-0.866108,Low
-0.043675,-0.257416,0.240191,-0.284052,0.072271,High
1.547972,-0.804607,0.081237,-0.579025,-0.77227,Low
0.45895,-0.135818,0.081237,-0.402042,-0.866108,Low
0.45895,-0.135818,0.081237,-0.402042,-0.866108,Low
1.129118,-0.135818,0.240191,-0.815004,-1.053784,Low
0.45895,0.563369,0.187206,-0.461036,-1.053784,Low
0.514797,0.472171,0.134222,-0.461036,-1.053784,High
-1.216469,1.171358,0.187206,-0.756009,-0.678432,Low
-0.76969,0.624168,0.240191,-0.63802,-1.147622,Low
0.989499,-0.62221,0.45213,-0.991988,-0.678432,Low
-0.15537,2.934527,0.028252,-0.63802,-0.866108,Low
-0.211217,2.964926,0.028252,-0.63802,-0.866108,Low
-0.15537,2.448135,0.45213,-0.225058,-0.959946,Low
-0.881385,0.076978,0.346161,-0.225058,-0.584594,High
0.570645,2.417736,0.081237,-0.284052,-0.866108,Low
0.123866,-0.561411,-0.183687,-0.63802,-0.678432,Low
0.123866,-0.561411,-0.183687,-0.63802,-0.678432,Low
0.347256,2.235339,0.028252,-0.697015,-0.959946,Low
0.291408,0.259374,0.028252,-0.402042,-0.209243,Low
-1.272316,-0.59181,0.717054,1.839754,-0.303081,High
1.715514,1.414554,-2.303079,1.131819,2.418218,High
3.13962,-0.470212,-1.031444,-1.345955,0.916812,Low
-1.160621,-0.683009,0.107729,0.954835,-0.115405,High
-0.881385,2.995326,0.399145,2.193722,-1.053784,Low
-0.15537,0.076978,-0.687043,0.777851,-0.866108,Low
-0.602148,-0.227017,-0.342642,-0.63802,-1.147622,Low
-0.546301,-0.287816,-0.316149,-0.579025,-1.147622,High
-1.272316,-0.561411,1.405857,0.659862,0.353785,High
-1.272316,-0.561411,1.405857,0.659862,0.353785,High
0.235561,2.235339,-0.263164,-0.756009,-1.053784,Low
-0.490454,1.475353,-0.077718,0.069915,-0.959946,Low
-1.272316,-0.835006,0.664069,1.308802,0.072271,High
0.012172,-0.835006,-0.475104,1.190813,1.855191,High
1.101194,0.472171,0.054744,-0.579025,-0.396918,High
-0.490454,-0.956604,0.664069,0.069915,-0.209243,High
0.235561,0.563369,-0.448611,-1.345955,-0.303081,Low
1.157041,-0.166218,0.346161,0.305894,-0.584594,High
0.542721,0.076978,-0.289657,-0.520031,0.54146,Low
1.101194,-0.166218,-0.024733,-0.63802,-1.241459,Low
-0.211217,-0.07502,-0.554581,-0.697015,-0.678432,Low
0.012172,2.964926,-0.10421,-0.343047,-0.866108,Low
-1.048927,0.350573,-0.183687,-0.402042,-0.959946,High
0.012172,0.776165,-0.554581,-0.520031,-0.959946,Low
0.45895,-1.108601,-0.793012,-0.343047,-0.866108,Low
0.654416,-0.561411,0.743547,-0.343047,-0.396918,High
0.598568,0.259374,0.372653,-0.520031,-0.021567,Low
-0.546301,0.50257,-0.316149,-0.461036,0.072271,High
1.631743,-0.713408,0.876009,-0.166063,-0.584594,Low
-0.546301,0.50257,-0.316149,-0.461036,0.072271,High
-0.043675,-0.287816,0.054744,-0.932993,0.54146,Low
-0.267065,1.809747,-2.144125,-0.225058,1.667515,High
-0.825538,0.076978,-0.263164,-0.815004,-0.490756,High
-0.881385,0.350573,0.664069,0.246899,-0.77227,High
-0.043675,-0.287816,0.054744,-0.932993,0.54146,Low
2.636995,-0.287816,0.054744,-0.63802,-1.335297,High
0.570645,-0.257416,0.00176,-0.461036,-1.335297,High
0.570645,-0.257416,0.00176,-0.461036,-1.335297,High
0.654416,-0.227017,0.00176,-0.461036,-1.147622,High
0.570645,-0.257416,0.00176,-0.461036,-1.335297,High
2.636995,-0.287816,0.054744,-0.63802,-1.335297,High
-0.825538,-0.683009,1.326379,0.305894,0.447623,High
0.291408,1.900945,-0.581073,-0.991988,-0.584594,High
-1.774942,-0.683009,1.750258,1.072824,-1.147622,High
-1.774942,-0.683009,1.750258,1.072824,-1.147622,High
0.738187,-0.713408,0.823024,1.780759,-0.490756,High
0.849881,0.137777,0.054744,-0.815004,-0.866108,Low
0.403103,0.806565,-0.236672,-1.227966,-1.053784,Low
0.012172,-0.227017,-0.316149,-1.050982,-0.584594,High
0.738187,-0.713408,0.823024,1.780759,-0.490756,High
-1.160621,-0.287816,0.928993,0.718856,-0.396918,High
0.403103,-0.379014,0.240191,0.246899,-0.490756,High
-0.993079,-0.774207,0.981978,-0.756009,0.072271,Low
1.380431,1.201758,-0.448611,-0.402042,-0.866108,Low
0.403103,-0.379014,0.240191,0.246899,-0.490756,High
0.235561,2.20494,0.00176,-0.520031,-1.053784,Low
-1.048927,-1.017403,0.664069,-0.225058,-1.147622,Low
0.933652,0.289774,0.028252,0.069915,-1.147622,Low
-1.216469,-0.409414,1.538319,0.836846,0.072271,High
-1.104774,-0.04462,-0.263164,-0.048074,-1.053784,Low
2.497376,0.624168,-0.581073,-0.343047,-0.959946,Low
-0.043675,-0.348615,-0.528088,-0.520031,-0.396918,Low
-0.881385,0.076978,-0.236672,0.069915,-1.053784,Low
0.179714,-0.59181,1.670781,1.249808,0.447623,Low
-1.495705,-1.108601,0.028252,0.364889,-0.209243,High
1.91098,0.441771,1.856227,0.364889,-0.584594,Low
-0.993079,-0.287816,0.293176,1.190813,2.230543,High
0.068019,-0.59181,1.034963,1.485786,-0.959946,High
-1.942483,-0.713408,1.511826,1.839754,-0.303081,High
0.095943,0.441771,-0.130702,0.069915,0.259947,High
-1.942483,-0.713408,1.511826,1.839754,-0.303081,High
-0.881385,0.563369,1.379364,0.718856,-0.303081,Low
1.045347,-0.257416,0.319668,-0.107068,-0.959946,Low
0.095943,0.441771,-0.130702,0.069915,0.259947,High
0.068019,-0.59181,1.034963,1.485786,-0.959946,High
-1.942483,-0.713408,1.511826,1.839754,-0.303081,High
-1.495705,-0.835006,0.981978,0.954835,-1.053784,High
-0.043675,0.198576,0.187206,-0.520031,-1.241459,Low
0.347256,0.745766,1.803243,0.305894,-0.584594,Low
0.347256,0.745766,1.803243,0.305894,-0.584594,Low
-0.434607,0.076978,1.564811,0.600867,-0.115405,High
-0.713843,0.198576,-0.024733,0.246899,-0.115405,High
-0.043675,0.076978,0.45213,1.190813,0.166109,High
-0.602148,1.566551,2.253613,1.721765,-1.147622,Low
-0.043675,0.076978,0.45213,1.190813,0.166109,High
0.123866,0.046578,1.405857,-0.107068,-0.115405,High
-0.937232,-0.926204,-0.183687,-0.343047,-0.303081,High
-1.048927,0.198576,2.465552,0.89584,-0.866108,High
-0.15537,-0.59181,1.77675,-0.107068,-0.866108,Low
1.687591,0.715366,0.717054,-0.815004,-0.490756,Low
0.570645,-0.531011,0.955486,0.423883,-0.77227,Low
0.682339,-0.470212,1.352872,0.836846,-0.678432,Low
0.794034,-0.409414,0.902501,0.305894,-0.77227,Low
0.012172,-0.07502,-0.130702,-0.402042,0.259947,High
-1.942483,-0.956604,0.293176,-0.107068,-0.303081,High
0.989499,-0.561411,1.405857,0.364889,-0.396918,Low
0.682339,1.323355,0.293176,-0.815004,-1.147622,Low
0.012172,-0.652609,1.617796,-0.402042,-1.053784,High
0.514797,0.228975,-0.077718,-0.815004,-0.959946,Low
-1.328163,-0.500612,0.028252,-0.756009,-0.866108,High
0.012172,-0.652609,1.617796,-0.402042,-1.053784,High
0.012172,1.779347,-0.395626,-0.697015,-0.959946,High
-0.378759,1.566551,0.743547,-0.166063,-0.866108,High
-0.322912,2.691331,0.45213,-0.756009,-0.959946,Low
-0.937232,0.776165,-0.157195,0.12891,0.54146,Low
-0.993079,0.198576,-0.289657,-0.048074,0.54146,High
0.179714,1.384154,1.511826,-0.048074,-0.303081,Low
1.352507,0.836964,1.008471,-0.107068,-0.021567,High
0.738187,0.380972,1.140933,0.305894,1.01065,High
1.352507,0.836964,1.008471,-0.107068,-0.021567,High
0.738187,0.380972,1.140933,0.305894,1.01065,High
0.45895,1.232157,1.591303,-0.225058,-0.678432,Low
0.514797,-0.865405,0.319668,-0.166063,-1.053784,Low
0.347256,0.806565,1.193917,0.246899,-0.866108,High
0.012172,-0.987003,0.5581,0.482878,1.01065,High
-0.490454,-1.017403,0.664069,1.013829,1.01065,Low
-1.439858,-0.774207,1.829735,0.069915,-0.678432,High
-0.378759,-0.956604,0.717054,-0.225058,-0.866108,Low
-0.937232,-0.166218,0.664069,0.010921,1.949029,High
-0.937232,-0.166218,0.664069,0.010921,1.949029,High
0.291408,2.052942,0.293176,-0.697015,-0.959946,High
0.179714,-0.07502,-0.501596,-0.815004,0.54146,Low
0.682339,-0.257416,-0.236672,0.482878,1.198326,High
0.933652,-0.774207,1.299887,1.072824,1.667515,High
-0.546301,-0.926204,-1.031444,0.246899,1.949029,High
-0.546301,0.350573,0.346161,-0.107068,-0.115405,Low
-0.211217,1.596951,2.147644,2.016738,1.01065,High
-1.048927,-0.774207,1.723765,3.078641,-1.147622,High
-0.602148,-0.865405,0.240191,1.249808,0.822974,High
-0.76969,-0.987003,0.770039,0.541872,-0.584594,High
-0.76969,-0.987003,0.770039,0.541872,-0.584594,High
0.235561,-0.439813,2.041674,0.718856,0.259947,High
0.877805,0.50257,0.611085,0.89584,-0.490756,Low
1.60382,-0.379014,-0.66055,1.367797,1.761353,High
-0.211217,-0.956604,0.981978,1.603776,1.479839,High
0.179714,-0.014221,0.611085,1.544781,-0.396918,High
1.436278,-0.561411,1.405857,1.190813,-0.959946,High
0.794034,-0.379014,1.935704,1.898749,-0.490756,High
1.492125,-0.62221,1.405857,1.013829,-0.959946,High
0.76611,-0.835006,0.346161,0.423883,-1.053784,Low
-1.774942,3.603315,-2.938897,-0.402042,1.386002,High
1.240812,-0.439813,-0.66055,-0.284052,2.230543,High
-0.657996,0.259374,1.77675,1.308802,0.54146,Low
-0.602148,-0.531011,0.134222,0.541872,1.198326,High
-0.546301,-0.713408,1.723765,1.131819,-0.021567,High
-0.825538,-0.166218,2.253613,0.12891,-0.584594,High
0.961576,1.04976,0.293176,0.246899,-0.959946,Low
-0.434607,0.107377,0.770039,1.485786,-0.490756,High
0.291408,-0.287816,1.299887,-0.579025,-0.396918,Low
-0.378759,-0.956604,1.087948,1.249808,-0.209243,Low
-0.602148,-0.774207,0.611085,1.603776,1.292164,High
0.263485,-0.683009,1.723765,0.187905,-1.335297,Low
-1.439858,-0.865405,-0.289657,2.783668,1.479839,High
1.324583,0.50257,0.399145,0.718856,-0.490756,Low
-1.6074,-0.652609,-0.024733,1.249808,-1.616811,High
-1.384011,-0.014221,-0.024733,2.252716,0.166109,High
0.123866,0.776165,-0.448611,-0.166063,-1.147622,Low
-0.657996,0.016179,2.465552,0.89584,0.353785,High
0.068019,-0.956604,0.876009,1.013829,1.292164,High
-0.434607,0.016179,1.88272,2.665679,0.54146,High
-1.439858,-0.865405,-0.289657,2.783668,1.479839,High
-0.602148,0.411372,0.611085,0.246899,0.353785,High
-1.495705,-0.59181,0.346161,0.836846,-0.959946,High
-0.630072,-0.105419,2.465552,0.836846,-0.396918,High
-1.495705,-0.59181,0.346161,0.836846,-0.959946,High
-1.495705,-0.59181,0.346161,0.836846,-0.959946,High
-0.099523,0.228975,0.664069,0.482878,-1.147622,Low
0.570645,-0.287816,0.611085,0.600867,-0.678432,High
0.068019,0.046578,0.717054,0.482878,-1.147622,High
0.738187,-0.135818,0.240191,-0.697015,-0.77227,High
-0.378759,0.198576,0.717054,0.482878,-1.147622,High
-0.825538,0.076978,0.770039,0.246899,-0.396918,High
1.799285,1.262557,-2.303079,0.954835,2.32438,High
-0.630072,-0.105419,2.465552,0.836846,-0.396918,High
-0.881385,-0.62221,0.664069,-0.873998,-0.866108,Low
0.76611,1.475353,0.134222,-0.697015,-1.241459,Low
0.403103,-0.652609,1.564811,-0.520031,-0.490756,Low
-0.881385,-0.257416,1.935704,-0.343047,2.418218,High
0.347256,0.076978,1.087948,-0.048074,0.54146,High
0.347256,0.076978,1.087948,-0.048074,0.54146,High
1.324583,-0.135818,-0.236672,-0.63802,-0.959946,Low
-1.495705,-0.257416,-0.978459,-1.109977,0.353785,High
-0.267065,0.53297,1.723765,-0.284052,0.072271,High
0.403103,-0.166218,1.405857,-0.166063,0.072271,High
0.905729,-0.59181,0.346161,-0.284052,-1.241459,Low
-1.216469,-0.652609,-0.077718,0.600867,-0.303081,High
-0.490454,-0.561411,0.717054,-0.048074,0.353785,High
-0.76969,-0.500612,1.511826,-0.166063,0.353785,High
-0.378759,0.076978,0.717054,-0.520031,-0.77227,Low
-0.546301,1.201758,1.034963,-0.225058,-0.866108,High
-0.434607,0.958562,1.034963,-0.225058,-0.866108,Low
1.157041,0.928163,-0.077718,-0.107068,-1.053784,Low
